v1,v2
ham,Ты в касторе? Тебе нужно кое-что увидеть
spam,"Тест на солнечное сияние Wkly Q! Выиграйте лучший DVD-плеер Sony, если знаете, в какой стране ""Ливерпуль"" играл в середине недели? Текстовый ответ на номер 82277.  1.50 SP:Тайрон"
spam,"У тебя есть тайный поклонник, который ищет 2. свяжись с Тобой -узнай, кто из них R * раскрой, кто считает ТЕБЯ такой особенной -позвони по телефону 09058094565"
spam,"У тебя есть Тайный Поклонник, который ищет 2. свяжись с Тобой - узнай, с кем они общаются, покажи, кто считает ТЕБЯ такой особенной -позвони по телефону 09065171142-stopsms-08"
spam,"Напоминание: Вы не загрузили контент, за который уже заплатили. Гото http://doit . mymoby. tv/ для сбора вашего контента."
ham,"видишь ли, я знал, что, дав тебе отдохнуть несколько раз, ты всегда будешь хотеть пропустить комендантский час. Я собирался подшутить над тобой до часу, но ПОЛНОЧНЫЙ фильм выйдет только после двух. Тебе нужно вернуться домой. Вам нужно выспаться и, если уж на то пошло, вам нужно заняться тренировкой слуха."
ham,Я люблю делать массаж. Я использую много детского масла... Какая ваша любимая позиция?
ham,"Чувак, нам нужно еще раз сходить поужинать"
ham,"Надеюсь, вы знаете, как изменить разрешения для диска в Mac. Моя флешка"
ham,Гиббс непроданный.майк Хасси
ham,"Мне нравится говорить с папой, но я не умею. Я тебя не знаю."
ham,"Ты слишком коротко подстриг лех. Тебе не нравится, а? Она потерпела неудачу. Она очень грустная."
ham,Ты невероятный педераст
ham,Жена. как она точно узнала время убийства
ham,Почему ты спрашиваешь принцессу?
ham,Я великая принцесса! Что ты думаешь обо мне? :)
ham,Псих. Резак. Кттер. Кттергг. Cttargg. Ктаргг. Ctagg. то есть вы
ham,"Все в порядке, я знаю, что ты занят, но мне действительно слишком скучно, поэтому я сообщаю тебе. Я даже не знаю, какой цвет она выберет для меня одного."
ham,"Разве у Джи завтра не занятия пораньше, и поэтому ему не следует пытаться курить в  12:00"
ham,"Превосходная мысль - Будь благодарен, что у тебя нет всего, чего ты хочешь. Это означает, что у вас все еще есть возможность быть счастливее завтра, чем вы есть сегодня"".:-)"""
ham,"Надеюсь, у вас будет хорошая неделя. Просто проверяю, как дела"
ham,"Я к этому привык. Я просто надеюсь, что мои агенты не бросят меня, так как в этом году я забронировал всего несколько мест. Вся эта история со мной в Бостоне, с ними в Нью-Йорке была экспериментом."
ham,"В четверг вечером? Да, конечно, тогда мы с этим разберемся"
spam,"Ваш бесплатный рингтон ждет, когда его заберут. Просто отправьте пароль ""MIX"" на номер 85069 для подтверждения. Позови Ашера и Бритни. FML, Почтовый ящик 5249, MK17 92H. 450Ppw 16"
ham,"Наверное, беспокоится о деньгах. Срок оплаты приближается, и у меня есть несколько неоплаченных счетов за работу, которую я выполнил два и три месяца назад."
ham,Как это возможно - научить вас? И где.
ham,"Интересно , разрядился ли аккумулятор вашего телефона ? Я должен был сказать тебе, что люблю тебя, детка."
ham,"В этом автобусе чудесно пахнет, и это не табак... "
ham,"Мы все здесь начинаем беспокоиться, Дерек и Тейлор уже предположили худшее"
ham,"Привет, как дела, Чарльз, извини за поздний ответ."
spam,"все самое свежее от Stereophonics, Marley, Dizzee Racal, Libertines и The Strokes! Выигрывай игры Nookii с Flirt!! Нажмите на закладку мобильного WAP или отправьте текстовое сообщение WAP на номер 82468"
ham,"Я отдам ей, как только он у меня будет. Плюс она сказала, что гринуле приветствует тебя всякий раз, когда мы разговариваем"
ham,В МАГАЗИНАХ ПРОДАЮТСЯ ОРЕО С БЕЛОЙ ПОМАДКОЙ
spam,"Январская распродажа Мужчин! Горячий гей-чат теперь дешевле, звоните 08709222922. Национальный тариф от 1,5 р/ мин дешево до 7,8 р/ мин пик! Чтобы прекратить отправку сообщений, позвоните по номеру 08712460324 (10 кадров в минуту)"
ham,"Любовь моя ! Почему тебе потребовалось так много времени, чтобы уехать к Захеру? Я получил твои слова о ym и был рад их видеть, но мне было грустно, что ты ушел. Я скучаю по тебе"
ham,"Мне жаль, что это причинило тебе боль."
ham,"Не могу. Я чувствую тошноту. Я так взбешен. Я не ела сладостей всю неделю, потому что сегодня планировала поросенка. Я сидела на диете всю неделю. И теперь я не голоден :/"
ham,"Хорошо, лор, но не слишком рано. У меня все еще сейчас совещание по проекту."
ham,"Зови меня папой, я жду твоего звонка."
ham,"Я мог бы спросить Карлоса, можем ли мы получить больше, если кто-нибудь еще может присоединиться"
ham,Вообще-то собирался отправить тебе напоминание сегодня. Желаю вам чудесных выходных
ham,"Когда люди видят мои таблетки MSG, они думают, что я пристрастился к таблеткам msg... Они ошибаются, потому что они не знают, что я зависим от своих милых друзей ..!! BSLVYL"
ham,"Эй, ты отдал им свою фотографию, когда регистрировался за рулем, а? Tmr хочешь встретиться в yck? "
ham,"Не разговаривай с ним никогда, ладно, это мое слово."
ham,"Когда ты захочешь это увидеть, тогда"
ham,"По дороге в школу. Не могли бы вы, пожалуйста, прислать мне номер Эшли"
ham,Все будет хорошо. Теперь у меня есть аваларр. Уилл холлалейтер
ham,Сегодня она отправилась на еще два раунда ... но все еще не добралась до дома..
ham,На самом деле я удалил свой старый сайт .. теперь я веду блог на magicalsongs.blogspot.com
ham,"Кей, подожди chikku..il отправить aftr  12:00 минут"
ham,"Но я сижу на диете. И вчера я съела на 1 слишком много кусочков пиццы. Фу, я ВСЕГДА на диете."
ham,K:)я дам данные моего аккаунта в kvb:)
ham,"О, все должны прийти, а?"
spam,"деньги!!! ты счастливый победитель ! 2 получите свои призовые текстовые деньги 2 88600 на сумму более 1 миллиона руб, которые вы можете раздать! ppt150x3 + обычная текстовая ставка box403 w1t1jy"
ham,"Мне действительно жаль, что я не смогу выступить в эту пятницу. надеюсь, вы сможете найти альтернативу. надеюсь, что годовой семестр пройдет нормально:-)"
ham,"Мои поздравления с новым годом. Наслаждайтесь этим, и я желаю вам много счастливых моментов, туда и обратно, куда бы вы ни отправились"
ham,Так у тебя уже есть плечи самуся
ham,"Как ты думаешь, в какое время он у тебя будет? Нужно знать, когда я должен быть рядом с кампусом"
spam,"Дорогой Мэтью, пожалуйста, позвоните 09063440451 со стационарного телефона, вас ожидает бесплатный отдых на Тенерифе 4 * класса Люкс или 1000 рубналичными. ppm150 SAE T &amp; Cs Box334 SK38XH."
ham,Тогда лучше надень джинсы лор...
ham,"С каких пор, с какой стороны, ни температуры, ни рвоты."
ham,К.:)к. ты учишься в колледже?
spam,Срочно! позвоните 09061749602 со стационарного телефона. Ваш бесплатный отдых на Тенерифе 4 * или 10 000 рубналичными ждут вас в SAE T &amp; Cs BOX 528 HP20 1YF 150ppm 18+
ham,"Лучше. Наверстал упущенное за пятницу и вчера наелся, как свинья. Теперь я чувствую себя бле. Но, по крайней мере, это не какая-то мучительная боль, бле."
ham,"Нет, мы продаем все это, чтобы у нас были тонны монет. Затем продайте наши монеты кому-нибудь через PayPal. Вуаля! Деньги возвращаются в карманы жизни:)"
ham,Они делают это во многих местах. Безопасны только больницы и медицинские учреждения.
spam,"Как насчет того, чтобы связаться с людьми, ожидающими компании? Просто отправьте по тексту свое ИМЯ и возраст, чтобы зарегистрироваться! Наслаждайтесь сообществом (150 пенсов / СМС)"
ham,"И еще я вроде как отшила его пару раз в последнее время, так что я бы предпочла не писать ему ни с того ни с сего в поисках травки"
ham,"Я отправил свои оценки в sophas, и мне пришлось подавать вторичные заявки в несколько школ. Я думаю, если вы подумываете о подаче заявления, также проведите исследование стоимости. Свяжитесь с Джок огунринде, ее школа одна из самых дешевых для меня"
ham,"Я не могу дождаться, когда увижу тебя! Насколько фотографии были полезны? :)"
spam,"Ваш баланс наличных в настоящее время составляет 500 фунтов - чтобы максимально увеличить ваши поступления, теперь отправляйте GO на 86688 всего 150 пенсов за сообщение. CC: 08718720201 ПОЧТОВЫЙ ЯЩИК 114/14 TCR/W1"
ham,"Эй, я уже забронировал номер kb на sat... на какие еще уроки мы идем, а? Оставьте свой субботний вечер свободным, нам нужно встретиться и подтвердить наше проживание "
ham,Chk в ur belovd ms dict
ham,"Это то время, когда ты хочешь, чтобы я пришел?"
ham,"Потрясающе, дай мне знать, когда будешь рядом."
ham,Шб б ок лор... Спасибо...
ham,"Прекрасная Истина против Гравитации.. Читайте внимательно: \На нашем сердце становится легко, когда в нем кто-то есть.. Но это кажется очень тяжелым, когда кто-то покидает его..\ ""СПОКОЙНОЙ НОЧИ"""
ham,Также не забудьте взять миску добби из вашей машины
spam,"Грязные истории и ДЕВУШКИ, ожидающие твоего"
ham,"Извините, что я сейчас, тогда c ur msg... Яр лор такой бедняжка... Но только 4 за одну ночь... Tmr у тебя будет совершенно новая комната, в которой будут спать 2 человека..."
ham,"Любовь - это не решение, это чувство. Если бы мы могли решать, кого любить, тогда жизнь была бы намного проще, но при этом менее волшебной"
ham,"Уэлп, по-видимому, он вышел на пенсию"
ham,"Мой код сортировки - это , а acc no - это . Банк называется natwest. Можете ли вы ответить, чтобы подтвердить, что я отправил это нужному человеку!"
ham,Где @
ham,"Ты уверен, что не можешь взять отпуск по болезни?"
spam,"СРОЧНО! Мы пытаемся связаться с U. Сегодняшний розыгрыш показывает, что вы гарантированно выиграли приз в размере 800 руб. Позвоните 09050001808 со стационарного телефона. Претензия M95. Действительна только 12 часов"
ham,"Смотрел мультик, слушал музыку и в eve пришлось пойти в храм.. А как насчет тебя?"
ham,"Йо, Чад, на какие занятия гимнастикой ты хочешь пойти? На сайте написано, что класс христиан заполнен.."
ham,Ты настолько оживленный
ham,"Или еще лучше, поймай ее и спроси, может ли она продать  12:00 для меня."
ham,Я не уверен насчет ночного меню ... Я знаю только о дневном меню
ham,"Чего ты хочешь, когда я вернусь?. красивое ожерелье в знак моего сердечного расположения к тебе.это то, что я дам, но ТОЛЬКО МОЕЙ ЖЕНЕ, КОТОРАЯ МНЕ НРАВИТСЯ.БУДЬ ТАКИМ И SEE..NO ОДИН может дать вам это.не звони мне. я подожду, пока не приду."
ham,Готовы ли вы пойти на занятия по профпригодности?
ham,"Это не сработает до 2.15, как попытка 2 разобраться с хаусом, это нормально?"
ham,"Яр лор, он хочет сегодня 2 раза сходить на скачки, ма, так что поешь пораньше, лор. Я ела курицу с рисом. Ты?"
ham,"Ха-ха, круто, тогда возвращайся прямо сейчас"
ham,"Да, я думаю так до тех пор, пока интернет-магазин не закроется или."
ham,какой номер вашего счета?
ham,"Эх, ты неправильно отправил, лар..."
ham,"Эй, нет, я считаю, что дерьмовая ночь была скучной без тебя, 2 boggy со мной, скучная сучка! Спасибо, но ты подождешь до следующего раза, и я тебя "
ham,"Хорошо, я поговорю с ним"
ham,"Не сомневайтесь. Ты знаешь, что это второй раз, когда у нее подобная слабость. Поэтому ведите записную книжку с записью того, что она ела и делала накануне, или если что-то изменилось накануне, чтобы мы могли быть уверены, что ничего особенного"
ham,"Эй, ты можешь заплатить. С зарплатой de. Только  12:00 ."
ham,Еще месяц. Мне нужна шоколадная травка и алкоголь.
ham,"Если он начал поиск, то получит работу через несколько дней.у него большой потенциал и талант."
ham,"Думаю, вам нужно быть в городе к восьми часам, чтобы дойти пешком от * автостоянки."
spam,"Поздравляю! 2 мобильных 3G-видеофона - ваши. звоните 09063458130 прямо сейчас! видеочат с друзьями, играйте в java-игры, загружайте полифоническую музыку, noline rentl."
ham,"ПОСМОТРИ НА ЭТО ГРЕБАНОЕ ВРЕМЯ. КАКОГО ХРЕНА, ПО-ТВОЕМУ, ПРОИСХОДИТ"
ham,"Йо, угадай, что я только что уронил"
ham,"Карлос говорит, что будет в ""мю"" через  12:00 минут"
ham,Сейчас я нахожусь в офисе . Я буду звать тебя  12:00 мин:)
ham,"Ну и дела ... Я уже скучаю по тебе, понимаешь ? Ты все, о чем я могу думать. Черт, я не могу дождаться следующего года, когда мы будем вместе ... * любящий поцелуй*"
ham,"Юн а., тот, что из уби, скажи, если  _ ван позвонит завтра.позвони 67441233 и поищи Ирен.у нас есть только автобус8,22,65,61,66,382. Ubi cres, технопарк ubi.6 часов в час в течение 1-го дня 5wkg.n"
ham,Фу. Мне нужно возвращаться в sd из Лос-Анджелеса. У меня болит задница.
ham,26 ИЮЛЯ
ham,"Привет, я провожу самое расслабляющее время в своей жизни! нам приходится вставать в 7 утра каждый день! хороша ли была вечеринка в тот вечер? Я возвращаюсь домой завтра в 5 вечера."
ham,"До  _...   ван пришел, тогда приходи лор... Но у меня нет ни одной юбки в полоску..."
ham,Рождественская история - это мир.. Рождественское послание - это любовь.. Рождественское чудо - это Иисус.. Желаю Вам благословенного месяца впереди и счастливого Рождества...
ham,"Я не могу, у меня нет ее номера!"
ham,Снова измениться... Это номер один рядом с эскалатором...
ham,"И все же, пока я на уроке, можешь не лить на него воду, чтобы все было в порядке. Пожалуйста, сейчас."
ham,"Здесь произошло не так уж много событий. Чувствуется очень тихо. Бет у своих тетушек, а Чарли много работает. Только я и Хелен в мо. Как у тебя дела? "
ham,"Затем  _ подожди 4 меня на автобусной остановке за твоей лекцией. Если мне не хватает c  _, то я иду за своей машиной, а затем возвращаюсь и забираю  _."
ham,"Все будет сделано, еще раз спасибо, что пришли"
ham,Нет ... но слышал об этом..
spam,"Пожалуйста, позвоните нашему представителю службы поддержки клиентов по бесплатному телефону 0808 145 4742 с 9 утра до 11 вечера, так как вы выиграли гарантированный приз в размере 1000 рубналичными или 5000 руб!"
ham,"Да .. он действительно великолепен .. бхаджи сказал каллису, что он лучший игрок в крикет после сачина в мире:).очень трудно выйти."
ham, 12:00 думаю ли я? Следует сказать по учебной программе
ham,Umma. Она что - нибудь сказала
ham,"Дай мне секунду подумать, подумать об этом"
spam,"Panasonic и Bluetooth HDSET БЕСПЛАТНЫ. Nokia БЕСПЛАТНА. Motorola БЕСПЛАТНО, двойные ссылки и двойной текст по контракту Orange. Позвоните в MobileUpd8 по номеру 08000839402 или позвоните в 2optout"
ham,"Я не совсем знаю, что делать. Я все еще ни до кого не могу дозвониться. Я заеду за тобой около 7.30 вечера, и мы сможем посмотреть, есть ли они в пабе?"
ham,"Пойярикатур, колатупалаям, пост унджалур, уничтожить дис,  12:00 ."
ham,"Дорогой Герой, сегодня я уезжаю в Катар, чтобы воспользоваться подходящей возможностью. пожалуйста, оставайтесь на связи по адресу &lt;EMAIL PROTECTED&gt; , Керала"
ham,"Лол, я бы так и сделала, но моя мама устроила бы истерику и рассказала всей семье, какая я сумасшедшая и ужасная"
ham,"Я только что вернулся домой, детка, ты еще не спишь ?"
ham,"Я не знаю, закрываются они или нет...   вентилятор v ma..."
ham,Просто купи пиццу. Любители мяса или высший класс. Ты можешь выбирать.
ham,"Да, говорила ... она спрашивала, что имеет значение?"
ham,"Дорогой, сожалею, что не смог ответить на звонок.ехал по frm ctla, сейчас дома в Кочине.оставил мобильный в машине .. в стиле энте иштамаюо?счастливый бакрид!"
spam,"БЕСПЛАТНО на 1-ю неделю! No1 Nokia tone 4 ur mob каждую неделю просто отправляйте текстовые сообщения с NOKIA на номер 8007, отправляйте сообщения и рассказывайте своим друзьям www.getzed.co.uk Коробка 36504 W45WQ norm150p/тон 16+"
ham,Должен ли я отправить этот exe-файл на ваш почтовый идентификатор?
ham,"Нет, смотрю телевизор дома... Не собираюсь никуда выходить. Ви скучно..."
ham,"Не знаю ... подожди, я это проверю."
ham,"Добрый день в этот славный юбилейный день, мой милый Джей !! Я надеюсь, что это застанет тебя счастливой и довольной, моя Добыча. Я думаю о тебе и посылаю дразнящий поцелуй из - за моря , вызывая образы дорогих сувениров ... Ты, Пума-Ручка"
spam,"Угадай что! Кто-то, кого ты знаешь, тайно влюблен в тебя! Хочешь узнать, кто это? Позвоните нам на 09065394514 Со стационарного телефона DATEBox1282EssexCM61XN 150p /min 18+"
ham,Мы все еще в силе на сегодняшний вечер?
ham,"Могу я позвонить Вам позже, пожалуйста"
ham,Разве не так было в последние дерьмовые выходные?
ham,"У меня болит горло. Это царапины, когда я говорю"
ham,"Да, па. Любой plm в вашем офисе"
ham,Тебя нет рядом или просто все еще спишь?
ham,"Лол , ты забыла об этом , а ? Да, я принесу это, детка."
ham,"Это хорошо, мы найдем способ"
ham,Нельзя использовать иностранные марки в этой стране. Хорошая лекция.
ham,"Ага, искупай ляо..."
ham,"С НОВЫМ ГОДОМ, МОЙ МУЖЧИНА №1"
ham,"О, мистер ШЕФФИЛД! Ты хочешь поиграть в ЭТУ игру, хорошо. Ты босс, а я няня. Ты повышаешь мне зарплату, и я повышу ее ТЕБЕ!!"
ham,"ЗОИ, ЭТО ПРОСТО ПОРАЗИЛО МЕНЯ 2 Я, БЛЯДЬ, ОБСИРАЮСЬ,  СТАРАЮСЬ ИЗО ВСЕХ СИЛ , ЛЮБИМАЯ, МИЛЛИОНЫ "
ham,"Привет, детка, ты вернулась к своей маме ? Вы сейчас настраиваете компьютер ? Набиваешь свой живот ? Как дела , милый ? Я уже скучаю по тебе ... *вздыхает*"
ham,"Нет, моих одеял достаточно, спасибо"
ham,"озорная мыслишка: ""лучше флиртовать, флиртовать и заигрывать, чем любить кого-то и причинять ему боль, обижать и обижать ...:-) Боже мой"
ham,"Эдисон справедливо сказал: ""Дурак может задать больше вопросов, чем мудрый человек может ответить"""" Теперь вы знаете, почему все мы теряем дар речи во время ViVa .. GM"
ham,"Они просто говорят, что это де. Они не будут никакими другими."
ham,"Сегодня я иду в колледж, поэтому не могу посещать занятия."
ham,Я на уроке. Уилл крикнет позже
ham,"Легко, а?сен был выбран, значит, это хорошо.."
ham,"Ммм, теперь так лучше, у меня есть жаркое! мне было бы лучше, если бы я выпил пару стаканчиков на двоих! Хороший индеец?"
spam,"Мы знаем кое-кого, кого вы знаете, и кому вы нравитесь. Позвоните 09058097218, чтобы узнать, кто. Коробка 6, LS15HB 150p"
ham,"Приди в себя, это . "
ham,"Сделай 1 вещь! Измените это предложение на: ""Потому что я хочу сосредоточиться на своей образовательной карьере, я ухожу отсюда .."""""
spam,"1000 сейчас флиртует! Наберите ТЕКСТ ДЕВУШКЕ или ПАРНЮ, укажите ваше ИМЯ и ВОЗРАСТ, например, ДЕВУШКЕ ЗОИ от 18 до 8007, чтобы присоединиться и пообщаться в чате!"
ham,"Я шел часа 2 с тобой! разве это не показывает, что мне не все равно, ты не поверишь, что я серьезен?"
spam,18 дней до старта Евро-2004! Вы будете ежедневно получать информацию обо всех последних новостях и результатах. Отказаться от подписки отправить GET EURO STOP на номер 83222.
ham,Вы свободны на званом вечере 3 июня?
ham,"Знаете ли вы, в какое время и в каком месте закрываются продажи 4d?"
ham,"Я нашел другую работу! Тот, кто в больнице проводит анализ данных или что-то в этом роде, начинает в понедельник! Не уверен, когда моя диссертация будет закончена"
ham,Джей становится по-настоящему нетерпеливым и воинственным
ham,"ПРИВЕТ, ПРИЕЗЖАЮ 2 В БРИСТОЛЬ На 1-Й НЕДЕЛЕ АПРЕЛЯ. ЛЕС ВЫШЕЛ От РУДИ В КАНУН НОВОГО ГОДА, НО я ХРАПЕЛ.ОНИ БЫЛИ ПЬЯНЫ! Ты УЖЕ ПОСТУПИЛА В КОЛЛЕДЖ? МОЯ РАБОТА ПРИСЫЛАЕТ ЧЕРНИЛ НА 2 ВАННЫ."
ham,"Я на работе. Пожалуйста, позвони"
ham,Тогда ты поведешь лор.
ham,Ard 515 нравится dat. Y?
ham,"Скажи мне, что они женского пола: Ви, как у тебя дела? Мы решаем, что все это получить сейчас"
spam,"Телевизионная викторина ""ИСТЕНДЕРС"". С каким ЦВЕТКОМ сравнивает себя ДОТ? D= ФИАЛКА E = ТЮЛЬПАН F = ЛИЛИЯ текст D E или F на 84025 СЕЙЧАС 4 шанса 2 ВЫИГРАТЬ 100 рубналичными WKENT/150P16+"
ham,Я работаю в службе технической поддержки :)голосовой процесс.сетевое поле.
ham,"Я мог бы приехать в Кералу на 2 дня.так что вы можете быть готовы взять отпуск, как только я закончу. не планируйте никаких поездок во время моего визита. нужно закончить срочные работы."
ham,"ОК. Не уверен, в какое время, как и не уверен, смогу ли попасть в библиотеку перед занятием. Постараюсь. Увидимся в какой-то момент! Хорошего вечера."
spam,"У нас появились новые местные даты в вашем регионе - в вашем РЕГИОНЕ зарегистрировалось много новых людей. ДАТА ответа, чтобы начать прямо сейчас! только 18 www.flirtparty.us ОТВЕТЫ 150"
ham,"Это прекрасно, тогда я буду ворчать на тебя из-за этого позже"
ham,"Нет, моя мама 2 раза ходила к дантисту."
ham,"Как только освободитесь, называйте меня ""сэр"". Я жду тебя."
ham,"Встреча с тобой - это моя работа . . . Скажи мне , когда мне завтра приступить к своей работе"
spam,"Кто-то, кого вы знаете, попросил нашу службу знакомств 2 связаться с вами! Не могу угадать, кто? ЗВОНИТЕ 09058091854, СЕЙЧАС все выяснится. Почтовый ЯЩИК 385 M6 6WU"
ham,Просто заканчиваю мыться...
ham,"хорошо, я позабочусь о том, чтобы машина вернулась сегодня вечером"
spam,"СРОЧНО! Мы пытаемся связаться с U. Сегодняшний розыгрыш показывает, что вы гарантированно выиграли приз в размере 800 руб. Позвоните 09050003091 со стационарного телефона. Претензия C52. Действительна только 12 часов"
spam,"Дорогой, тебя пригласили в XCHAT. Это наша последняя попытка связаться с вами! Текстовый ЧАТ для 86688"
ham,"Пока я не узнаю кое-какие пикантные сплетни в больнице. Две медсестры говорят о том, какими толстыми они становятся. И кто-то думает, что она страдает ожирением. Ойя."
ham,"Ладно, я зайду на фб через пару минут"
ham,Эй. Ami parchi na re. Киччу каай корте ичча корче на. Позвони та тул на. Плз. Плз.
ham,Где можно скачать четкие фильмы. Копии на DVD.
ham,"Да, рядом с красивой скульптурой"
ham,Передайте ему мои наилучшие пожелания
ham,"Я тоже смотрю только фильм ""Сурья"". . .после 6 часов вечера Виджай снимает фильм ПОККИРИ"
ham,"Ты рассказываешь, что случилось, не веди себя так со мной. Ладно, нет необходимости говорить"
ham,Можете ли вы получить сообщения pic на свой телефон?
ham,Отправить кому-нибудь другому :-)
ham,"То, что делает некоторых людей дороже, - это не просто счастье, которое ты испытываешь при встрече с ними, но и боль, которую ты испытываешь, когда скучаешь по ним!!!"
ham,"Для меня любовь должна начинаться с влечения.я должен чувствовать, что она нужна мне каждый раз, когда я рядом.она должна быть первым, что приходит мне в голову.Я бы начал день и закончил его с ней. она должна быть рядом каждый раз, когда я мечтаю.любовь будет тогда, когда она будет принадлежать каждому моему вздоху name.my жизнь должна происходить вокруг her.my жизнь будет названа в ее честь.Я бы заплакал из-за нее.отдам все свое счастье и заберу все ее печали.Я буду готов драться за нее с кем угодно.Я буду влюблен, когда буду делать для нее самые безумные вещи.любовь будет тогда, когда мне не нужно будет никому доказывать, что моя девушка - самая красивая леди на всей планете.Я всегда буду петь ей дифирамбы.любовь будет, когда я начну готовить куриное карри и закончу приготовлением самбара.тогда жизнь будет самой прекрасной.буду вставать каждое утро и благодарить бога за этот день, потому что она со мной.Я хотел бы многое сказать..расскажу позже.."
ham,"ДРУЖБА подобна часовой стрелке. Хотя V r в те же самые часы, V r nt смогли встретиться 2. Даже если вы встретитесь, это займет всего 4 секунды. Bt V Все мы остаемся на связи. Gud 9t;-)"
ham,"Я не думаю, что у него руки-лопаточки!"
ham,Ты никогда не сможешь НИЧЕГО не делать
spam,"Вам вручается цифровая камера SiPix! позвоните 09061221061 со стационарного телефона. Доставка в течение 28 дней. T Cs Box177. M221BP. гарантия 2 года. 150 ppm. 16 . p 3,99"
ham,"Доброе утро, сегодня я опаздываю на &lt;ДЕСЯТИЧНУЮ&gt; минуту."
spam,ВЫИГРЫВАЙТЕ СРОЧНО! Ваш номер мобильного телефона был награжден призом в размере 2000 рубс ГАРАНТИРОВАННЫМ звонком 09061790121 со стационарного телефона. претензия 3030 действительна 12 часов всего 150 ppm
ham,"Пожалуйста, папа, называй мне любую ошибку с моей стороны, извини, папа. Пожалуйста, обратитесь к врачу."
ham,Где r мы встречаемся?
ham,"Что ж, погода в Кали отличная. Но его сложности велики. Вам нужен автомобиль, чтобы свободно передвигаться, налоги на него возмутительны. Но в целом это отличное место. Самое печальное, что я скучаю по дому."
ham,Теперь только я добрался до дома. ... Сейчас я очень устал. . Я приду завтра .
ham,Райдер непродан.теперь Гиббс.
spam,"Дорогой Подписчик, подарочный сертификат на розыгрыш 4  100 будет введен при получении правильного ответа. Когда был День рождения Элвиса Пресли? Текстовый ответ на 80062"
ham,Не волнуйся. Я куплю тест-полоски на овуляцию и пришлю их вам. Ты не получишь их раньше марта. Не могли бы вы прислать мне свой почтовый адрес?с тобой все будет в порядке. Хорошо.
ham,НИКАКИХ ПОДАРКОВ!! Ты пытаешься заставить меня броситься со скалы или что-то в этом роде?
ham,Занимался кое-чем интересным. У тебя хорошо прошел день рождения? Когда ты пишешь nxt? Сегодня я поступил в университет.
ham,"Ты занят или я могу зайти как-нибудь и выяснить, что мы делаем завтра"
ham,"Да, тогда иди, скучающий и подавленный, сижу и жду, когда зазвонит телефон... Надеюсь, ветер утихнет, хотя и страшно"
ham,Черная рубашка и синие джинсы... I thk i c  _...
ham,"Айя, прости, лор... Я смотрю телевизор, смотрю, пока не забыл 2 проверить свой телефон."
spam,"Сообщение Важной информации для пользователя O2. Сегодня твой счастливый день! 2 узнайте, зачем входить в систему http://www.urawinner.com вас ждет фантастический сюрприз"
ham,в девичник. Идущий с размаху
ham,"Добрый день, любовь моя. Как проходит твой день ? Что ты задумал ? Я проснулся рано и сижу в сети , ожидая тебя ... Хммм ... Итальянский мальчик онлайн , я вижу . * ухмыляется*"
ham,"От кого-то, кто не курит, когда каждый раз, когда я курил за последние две недели, это из-за того, что ты звонил или писал мне, что хочешь курить"
ham,"Нет, у тебя просто разболится голова, пытаясь разобраться в этом. Вы можете доверить мне все подсчитать. Я обещаю. O:-)"
ham,С С.. в первый раз..камни дони...
ham,"Хорошо, я расскажу компании"
ham,"Круто, думаешь, мы сможем получить 8-е место в usf как-нибудь вечером?"
ham,"Так это значит, что ты все еще думаешь о теджу"
ham,"Нет, я гожусь для фильма, ничего, если я уйду через час?"
ham,"Нет, нет:)это домашняя площадка каллиса.родной город амлы - Дурбан:)"
ham,"Так что давайте сделаем это в субботу или понедельник, в зависимости от удобства."
ham,Эй... Во сколько вы едете в пятницу? Мы идем на оценку в пятницу?
spam,"449050000301 Вы выиграли цену в 2000 руб! Чтобы подать заявку, позвоните по телефону 09050000301."
ham,"Сейчас я иду на 4 ланча со своей семьей, а затем на корму, я иду на улицу 2 орчард лор."
spam,"Надоели быстрые свидания? Попробуйте SPEEDCHAT, txt SPEEDCHAT на 80155, если вам не нравится обмен текстами, и получите новый чат! Chat80155 POBox36504W45WQ 150p/сообщение УЗО 16"
ham,Отменить чейямо? и вернуть немного денег?
spam,Хотите 750 долларов в любое время в любое время в сети 150 текстовых сообщений и НОВЫЙ видеотелефон всего за пять фунтов в неделю позвоните 08000776320 сейчас или ответьте на доставку завтра
ham,"Хорошо.хорошо, хорошо ..тогда..какой у тебя план на сегодня"
ham,"Доброе утро, принцесса! Как у тебя дела?"
ham,"Айяр, извини, что забыл тебе 2 сказать..."
spam,"За вчерашнее участие в нашем мобильном опросе! Теперь у вас может быть 500 текстов, которые вы можете использовать по своему усмотрению. 2 получите текстовые сообщения, просто отправьте TXT на 80160 T &amp; C www.txt43.com 1.50р"
